"success","trial_type","trial_index","time_elapsed","internal_node_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","rt","stimulus","key_press","subject_id","participant_id","age","gender","prompt","response","choice_outcomes","context_n","context_img_id","trial_n","probe_img_id","pR_red","pR_white","pR_black","outcome","contextArray_ind","validImageProbes","invalidImageProbes","pRew_Red","pRew_White","pRew_Black","availableForMemProbe","choice_blocks"
"true","fullscreen","0","1783","0.0-0.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pavlovia","1","1786","0.0-1.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","instruc1","2","46867","0.0-2.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","null","run_exp/static/audio/clip_1_welcome.m4a","null","0","0","0","female","<div class='center'><p>Welcome! This is the first part of the study. It will last ~30 minutes. In part 1 and part 2 of the study, you are the head captain of a pirate ship traveling around the world to different islands. You will play a few different games throughout these two parts. Here is an overview of them:</p><br><p>Part 1 (today)</p><p>1. Instructions, practice game, and quiz</p><p>2. Pick a pirate game on 6 different islands</p><br><p>Part 2 (tomorrow)</p><p>3. Pick a pirate game and memory game</p><p>4. Where did you see this ship? </p></div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","3","49388","0.0-3.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","2520.530000096187","<div class='center'><p>Welcome! This is the first part of the study. It will last ~30 minutes. In part 1 and part 2 of the study, you are the head captain of a pirate ship traveling around the world to different islands. You will play a few different games throughout these two parts. Here is an overview of them:</p><br><p>Part 1 (today)</p><p>1. Instructions, practice game, and quiz</p><p>2. Pick a pirate game on 6 different islands</p><br><p>Part 2 (tomorrow)</p><p>3. Pick a pirate game and memory game</p><p>4. Where did you see this ship? </p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","instruc2","4","54693","0.0-4.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","null","run_exp/static/audio/clip_2_different_places.m4a","null","","","","","<div class='center'><p>Today, you’ll visit these 6 islands on your journey. You'll be able to see these islands from your ship.</p><p><img src='run_exp/static/images/contexts/all_contexts.png' height='500'></p></div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","57014","0.0-5.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","2319.9150001164526","<div class='center'><p>Today, you’ll visit these 6 islands on your journey. You'll be able to see these islands from your ship.</p><p><img src='run_exp/static/images/contexts/all_contexts.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","instruc3","6","66721","0.0-6.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","null","run_exp/static/audio/clip_3_goal_of_game_1.m4a","null","","","","","<div class='center'><p> The pirates on your ship will rob other ships as they leave the island.</p> These ships have just sold their goods to the islanders, so they will be filled with lots and lots of gold.</p><p><img src='run_exp/static/images/tutorial/ship_center.png' height='400'></p></div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","68127","0.0-7.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","1404.0250000543892","<div class='center'><p> The pirates on your ship will rob other ships as they leave the island.</p> These ships have just sold their goods to the islanders, so they will be filled with lots and lots of gold.</p><p><img src='run_exp/static/images/tutorial/ship_center.png' height='400'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","instruc4","8","96118","0.0-8.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","null","run_exp/static/audio/clip_4_goal_of_game_2.m4a","null","","","","","<div class='center'><p>As the head captain, you do not have to rob any ships yourself. Another pirate will be doing the robbing for you. First, you will choose a pirate to rob the next ship.</p><p><img src='run_exp/static/images/tutorial/pirates_all_crop.png' height='200'></p><p>Then, you'll see if the pirate successfully robbed the ship of their gold. If they were successful, then you'll get a stack of gold coins like this:</p><p><img src='run_exp/static/images/tutorial/reward.png' height='150'></p><p> If they were <b>not</b> successful, then you'll get no gold coins, and you'll see a big red x like this: </p><p><img src='run_exp/static/images/tutorial/reward_no.png' height='150'></p><p> How much bonus money you make is based on how many gold coins you collect.</p><div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","98205","0.0-9.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","2085.81000007689","<div class='center'><p>As the head captain, you do not have to rob any ships yourself. Another pirate will be doing the robbing for you. First, you will choose a pirate to rob the next ship.</p><p><img src='run_exp/static/images/tutorial/pirates_all_crop.png' height='200'></p><p>Then, you'll see if the pirate successfully robbed the ship of their gold. If they were successful, then you'll get a stack of gold coins like this:</p><p><img src='run_exp/static/images/tutorial/reward.png' height='150'></p><p> If they were <b>not</b> successful, then you'll get no gold coins, and you'll see a big red x like this: </p><p><img src='run_exp/static/images/tutorial/reward_no.png' height='150'></p><p> How much bonus money you make is based on how many gold coins you collect.</p<p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","instruc5","10","111012","0.0-10.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","12805.38500007242","run_exp/static/audio/clip_5_probabilistic.m4a","49","","","","","<div class='center'><p>Even the most skilled pirate can not rob EVERY ship.</p><p> Some ships will have very strong protections against pirate attacks.</p><p> Blue beard, here, is very, very good at robbing ships, but he won't be successful every time he tries to rob one.</p><p> You can press the <b>‘1’</b> key on the keyboard to choose him.</p><p> Try choosing him 10 times to see how often he succeeds at robbing a ship. </p><p><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","112515","0.0-11.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","12","114541","0.0-12.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","2025.2800001762807","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","116043","0.0-13.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","14","117386","0.0-14.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","1341.6200000792742","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","15","118888","0.0-15.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","16","119214","0.0-16.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","325.08999994024634","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","120718","0.0-17.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_no_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","18","121038","0.0-18.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","319.96500003151596","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","122540","0.0-19.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","20","122586","0.0-20.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","45.209999894723296","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","124092","0.0-21.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","22","124403","0.0-22.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","309.5100000500679","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","125907","0.0-23.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","24","126156","0.0-24.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","248.11499984934926","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","127660","0.0-25.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_no_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","26","127663","0.0-26.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","1.0549998842179775","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","27","129169","0.0-27.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","28","129189","0.0-28.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","18.350000027567148","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","29","130690","0.0-29.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","","","","","","","","","","","","","","","","","",""
"","instruc6","30","136063","0.0-30.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","null","run_exp/static/audio/clip_6_blue_beard_outcome.m4a","null","","","","","<div class='center'><p> See, he succeeded in robbing the ships most of the time but not every time. </p></div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","31","146261","0.0-31.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","10197.354999836534","<div class='center'><p> See, he succeeded in robbing the ships most of the time but not every time. </p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","audio-keyboard-response","32","151101","0.0-32.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","4838.705000001937","run_exp/static/audio/clip_7_pick_pirate.m4a","49","","","","","","","","","","","","","","","","","","","","","","",""
"","audio-keyboard-response","33","151972","0.0-33.0-0.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","870.0549998320639","run_exp/static/audio/clip_8_chosen_pirate_win.m4a","32","","","","","","","","","","","","","","","","","","","","","","",""
"","audio-keyboard-response","34","152656","0.0-33.0-1.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","682.9049999359995","run_exp/static/audio/clip_9_pick_a_pirate_again.m4a","49","","","","","","","","","","","","","","","","","","","","","","",""
"","audio-keyboard-response","35","154135","0.0-34.0-0.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","1477.889999980107","run_exp/static/audio/clip_10_chosen_pirate_loss.m4a","32","","","","","","","","","","","","","","","","","","","","","","",""
"","instruc9","36","159645","0.0-35.0-0.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","
","null","run_exp/static/audio/clip_11_time_out.m4a","null","","","","","<div class='center'><p>If you don’t make your choice fast enough, you’ll have to wait a few seconds before you can make another one. </p><p><img src='run_exp/static/images/miscellaneous/hurry_up.png' height='500'></p></div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","37","160642","0.0-35.0-1.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
""fullscreenexit"",""38"",""187307""
""blur"",""38"",""189019""
","""event"",""trial"",""time""
""blur"",""38"",""189019""
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","""event"",""trial"",""time""
""fullscreenexit"",""38"",""187307""
","996.3899999856949","<div class='center'><p>If you don’t make your choice fast enough, you’ll have to wait a few seconds before you can make another one. </p><p><img src='run_exp/static/images/miscellaneous/hurry_up.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","instruc10","38","199745","0.0-35.0-2.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
""fullscreenexit"",""38"",""187307""
""blur"",""38"",""189019""
""focus"",""39"",""459127""
","""event"",""trial"",""time""
""blur"",""38"",""189019""
","""event"",""trial"",""time""
""focus"",""39"",""459127""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","""event"",""trial"",""time""
""fullscreenexit"",""38"",""187307""
","null","run_exp/static/audio/clip_12_probe.m4a","null","","","","","<div class='center'><p>Once you've chosen a pirate, you’ll be shown the ship they are robbing. You will never rob the same ship twice. Ships can be told apart from one another by the image on them. These are the goods that they sell. See, this ship has a travel mug on it. </p><p> You’ll have to remember which island you saw each ship on. You will win more gold coins and hence more bonus money if you remember correctly! To help you remember, you can imagine a story. For example, here, you could imagine a mug full of water in the desert. Or, as another example, if on the forest island, your pirate robbed a ship with an apple on it, you could imagine an apple falling from a tree in the forest. </p><p><img src='run_exp/static/images/tutorial/example_probe.png' height='500'></p></div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","39","460061","0.0-35.0-3.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
""fullscreenexit"",""38"",""187307""
""blur"",""38"",""189019""
""focus"",""39"",""459127""
","""event"",""trial"",""time""
""blur"",""38"",""189019""
","""event"",""trial"",""time""
""focus"",""39"",""459127""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","""event"",""trial"",""time""
""fullscreenexit"",""38"",""187307""
","260313.3300000336","<div class='center'><p>Once you've chosen a pirate, you’ll be shown the ship they are robbing. You will never rob the same ship twice. Ships can be told apart from one another by the image on them. These are the goods that they sell. See, this ship has a travel mug on it. </p><p> You’ll have to remember which island you saw each ship on. You will win more gold coins and hence more bonus money if you remember correctly! To help you remember, you can imagine a story. For example, here, you could imagine a mug full of water in the desert. Or, as another example, if on the forest island, your pirate robbed a ship with an apple on it, you could imagine an apple falling from a tree in the forest. </p><p><img src='run_exp/static/images/tutorial/example_probe.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","","","","",""
"","instruc11","40","476440","0.0-35.0-4.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
""fullscreenexit"",""38"",""187307""
""blur"",""38"",""189019""
""focus"",""39"",""459127""
","""event"",""trial"",""time""
""blur"",""38"",""189019""
","""event"",""trial"",""time""
""focus"",""39"",""459127""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","""event"",""trial"",""time""
""fullscreenexit"",""38"",""187307""
","null","run_exp/static/audio/clip_13_changepoint.m4a","null","","","","","<div class='center'><p>How successful a pirate is at robbing ships will depend on the island you’re on.</p><p> A pirate may have visited this island many times before and gained a lot of practice robbing ships there.</p><p>So, they’re more likely to be successful than a pirate who has never visited the island before.</p></div>","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","41","480288","0.0-35.0-5.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
""fullscreenexit"",""38"",""187307""
""blur"",""38"",""189019""
""focus"",""39"",""459127""
","""event"",""trial"",""time""
""blur"",""38"",""189019""
","""event"",""trial"",""time""
""focus"",""39"",""459127""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""820""
","""event"",""trial"",""time""
""fullscreenexit"",""38"",""187307""
","3847.1150000113994","<div class='center'><p>How successful a pirate is at robbing ships will depend on the island you’re on.</p><p> A pirate may have visited this island many times before and gained a lot of practice robbing ships there.</p><p>So, they’re more likely to be successful than a pirate who has never visited the island before.</p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","","","","",""
