"success","trial_type","trial_index","time_elapsed","internal_node_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","rt","stimulus","key_press","subject_id","participant_id","age","gender","prompt"
"","instruc5","10","353856","0.0-10.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","174383.69999998808","run_exp/static/audio/clip_5_probabilistic.m4a","49","","","","","<div class='center'><p>Even the most skilled pirate can not rob EVERY ship.</p><p> Some ships will have very strong protections against pirate attacks.</p><p> Blue beard, here, is very, very good at robbing ships, but he won't be successful every time he tries to rob one.</p><p> You can press the <b>‘1’</b> key on the keyboard to choose him.</p><p> Try choosing him 10 times to see how often he succeeds at robbing a ship. </p><p><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>"
"","html-keyboard-response","11","355358","0.0-11.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","",""
"","html-keyboard-response","12","356544","0.0-12.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","1185","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","",""
"","html-keyboard-response","13","358046","0.0-13.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","",""
"","html-keyboard-response","14","358672","0.0-14.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","625.1000000238419","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","",""
"","html-keyboard-response","15","360173","0.0-15.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","",""
"","html-keyboard-response","16","360496","0.0-16.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","322.0999999642372","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","",""
"","html-keyboard-response","17","361996","0.0-17.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_no_win.png' height='500'></p></div>","null","","","","",""
"","html-keyboard-response","18","362240","0.0-18.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","242.60000002384186","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","",""
"","html-keyboard-response","19","363742","0.0-19.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","",""
"","html-keyboard-response","20","364016","0.0-20.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","273.5","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","",""
"","html-keyboard-response","21","365517","0.0-21.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","",""
"","html-keyboard-response","22","368528","0.0-22.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","3010.600000023842","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","",""
"","html-keyboard-response","23","370029","0.0-23.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","",""
"","html-keyboard-response","24","372800","0.0-24.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","2770.699999988079","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","",""
"","html-keyboard-response","25","374301","0.0-25.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_no_win.png' height='500'></p></div>","null","","","","",""
"","html-keyboard-response","26","374976","0.0-26.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","674","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","",""
"","html-keyboard-response","27","376477","0.0-27.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","",""
"","html-keyboard-response","28","376976","0.0-28.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","498.60000002384186","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","",""
"","html-keyboard-response","29","378477","0.0-29.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","",""
"","instruc6","30","384068","0.0-30.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","null","run_exp/static/audio/clip_6_blue_beard_outcome.m4a","null","","","","","<div class='center'><p> See, he succeeded in robbing the ships most of the time but not every time. </p></div>"
"","html-keyboard-response","31","386144","0.0-31.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","2075.399999976158","<div class='center'><p> See, he succeeded in robbing the ships most of the time but not every time. </p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","",""
"","audio-keyboard-response","32","602777","0.0-32.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","216624.10000002384","run_exp/static/audio/clip_7_pick_pirate.m4a","49","","","","",""
"","audio-keyboard-response","33","605401","0.0-33.0-0.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","2622.199999988079","run_exp/static/audio/clip_8_chosen_pirate_win.m4a","32","","","","",""
"","audio-keyboard-response","34","605881","0.0-33.0-1.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","478.39999997615814","run_exp/static/audio/clip_9_pick_a_pirate_again.m4a","50","","","","",""
"","audio-keyboard-response","35","606825","0.0-34.0-0.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","942.8000000119209","run_exp/static/audio/clip_10_chosen_pirate_loss.m4a","32","","","","",""
"","instruc9","36","612318","0.0-35.0-0.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","null","run_exp/static/audio/clip_11_time_out.m4a","null","","","","","<div class='center'><p>If you don’t make your choice fast enough, you’ll have to wait a few seconds before you can make another one. </p><p><img src='run_exp/static/images/miscellaneous/hurry_up.png' height='500'></p></div>"
"","html-keyboard-response","37","721005","0.0-35.0-1.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","108682.69999998808","<div class='center'><p>If you don’t make your choice fast enough, you’ll have to wait a few seconds before you can make another one. </p><p><img src='run_exp/static/images/miscellaneous/hurry_up.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","",""
"","instruc10","38","760277","0.0-35.0-2.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","null","run_exp/static/audio/clip_12_probe.m4a","null","","","","","<div class='center'><p>Once you've chosen a pirate, you’ll be shown the ship they are robbing. You will never rob the same ship twice. Ships can be told apart from one another by the image on them. These are the goods that they sell. See, this ship has a travel mug on it. </p><p> You’ll have to remember which island you saw each ship on. You will win more gold coins and hence more bonus money if you remember correctly! To help you remember, you can imagine a story. For example, here, you could imagine a mug full of water in the desert. Or, as another example, if on the forest island, your pirate robbed a ship with an apple on it, you could imagine an apple falling from a tree in the forest. </p><p><img src='run_exp/static/images/tutorial/example_probe.png' height='500'></p></div>"
"","html-keyboard-response","39","847392","0.0-35.0-3.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
""blur"",""40"",""849704""
""focus"",""40"",""850743""
","""event"",""trial"",""time""
""blur"",""40"",""849704""
","""event"",""trial"",""time""
""focus"",""40"",""850743""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","87110.5","<div class='center'><p>Once you've chosen a pirate, you’ll be shown the ship they are robbing. You will never rob the same ship twice. Ships can be told apart from one another by the image on them. These are the goods that they sell. See, this ship has a travel mug on it. </p><p> You’ll have to remember which island you saw each ship on. You will win more gold coins and hence more bonus money if you remember correctly! To help you remember, you can imagine a story. For example, here, you could imagine a mug full of water in the desert. Or, as another example, if on the forest island, your pirate robbed a ship with an apple on it, you could imagine an apple falling from a tree in the forest. </p><p><img src='run_exp/static/images/tutorial/example_probe.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","",""
"","instruc11","40","863851","0.0-35.0-4.0","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
""fullscreenexit"",""3"",""130433""
""blur"",""40"",""849704""
""focus"",""40"",""850743""
""blur"",""41"",""1256246""
","""event"",""trial"",""time""
""blur"",""40"",""849704""
""blur"",""41"",""1256246""
","""event"",""trial"",""time""
""focus"",""40"",""850743""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""3157""
","""event"",""trial"",""time""
""fullscreenexit"",""3"",""130433""
","null","run_exp/static/audio/clip_13_changepoint.m4a","null","","","","","<div class='center'><p>How successful a pirate is at robbing ships will depend on the island you’re on.</p><p> A pirate may have visited this island many times before and gained a lot of practice robbing ships there.</p><p>So, they’re more likely to be successful than a pirate who has never visited the island before.</p></div>"
