"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","response","choice_outcomes","context_n","context_img_id","trial_n","probe_img_id","pR_red","pR_white","pR_black","outcome","contextArray_ind","validImageProbes","invalidImageProbes","pRew_Red","pRew_White","pRew_Black","availableForMemProbe","invalidProbeTrials","invalidProbeTrials_copy","choice_blocks"
"true","fullscreen","0","1867","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","",""
"","pavlovia","1","1873","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","2","3608","0.0-2.0","1733.685000013793","<div class='center'><p>In the game, you will get to choose which of three pirates you want to rob the next ship. <p>Press the <b>‘1’</b> button on your keyboard to pick the pirate with the red beard.</p><p> Press <b>‘2’</b> to pick the pirate with the white beard.</p><p> Press <b>‘3’</b> to pick the pirate with the black beard.</p><p>Try picking a pirate now!</p><p><img src='run_exp/static/images/all_pirates.png' height='500'></p></div>","49","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","3","4063","0.0-3.0-0.0","453.8149999862071","<div class='center'><p>This pirate was successful at robbing the ship!</p><p><img src='run_exp/static/images/red_win.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","5199","0.0-3.0-1.0","1135.3549999766983","<div class='center'><p>Now try choosing another</p><p><img src='run_exp/static/images/all_pirates.png' height='500'></p></div>","49","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","5575","0.0-4.0-0.0","374.34000000939704","<div class='center'><p>This pirate was not successful at robbing the ship!</p><p><img src='run_exp/static/images/red_no_win.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","6","6055","0.0-5.0-0.0","479.62999998708256","<div class='center'><p>You’ll stop at these 6 places on your journey.</p><p><img src='run_exp/static/images/all_contexts.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","7","6417","0.0-5.0-1.0","361.3949999853503","<div class='center'><p>How good a pirate is at robbing ships will depend on the current place.</p><p> Some pirates will have been to the place before, and will have more experience robbing ships there.</p><p>So, they will be more successful at stealing gold and bringing it back to you.</p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","8","6847","0.0-5.0-2.0","429.0999999793712","<div class='center'><p>How successful a pirate is at robbing ships can also change in a place.<p> Ships may hear about the pirates coming and will improve their defenses. This may make it more difficult to rob them.</p><p> Ships may also grow lazy and lower their defenses. This may make it easier to rob them.</p><br><p>Things are always changing on the high seas! So, try your best to pay attention!</p><p><img src='run_exp/static/images/contingency.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","9","7318","0.0-5.0-3.0","470.2050000196323","<div class='center'><p>Once you choose a pirate to rob a ship, you’ll be shown the ship they are robbing.</p><p>The ship will have a picture of the item they sold at the marketplace.</p><p> Try your best to remember the ship and where you saw the ship.</p><p> You’ll have to remember this for later, and remembering this correctly will help you win more bonus money!</p><p>You can remember the ship by remembering the item they sold at the marketplace</p><p>A helpful strategy is to try to come up with a story of the chosen pirate and ship’s item interacting with the scene.</p><p> For example, a ship might have sold travel mugs and you could imagine red beard walking through the city with a travel mug. </p><p>Or imagine an apple falling from a tree into white beard's hands in the forest.</p><p><img src='run_exp/static/images/example_probe.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","10","7850","0.0-5.0-4.0","530.8550000190735","<div class='center'><p>If you don’t make your choice fast enough, you’ll have to wait a few seconds before you can make another one. </p><p>You can’t win more gold. You just have to sit and wait.</p><p><img src='run_exp/static/images/hurry_up.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","11","8756","0.0-5.0-5.0","905.2849999861792","<div class='center'><p>Again, you have two important things to do: </p><b><p> 1. Pick the pirate who you think will be most successful at robbing the next ship.</p></b><b><p> 2. Remember where a pirate robbed a ship.</p> </b><p>Both are important in determining how much bonus money you’ll win.</p><br><p>Let’s try a practice game. The game will start by showing you the pirates. First pick a pirate using the <b> 1, 2, 3 </b> buttons on your keyboard. When you are shown a ship, try to remember the place you’re in by making up a story.</p><p> You only have 3 seconds to pick a pirate, so please make a choice quickly! If you are too slow, you’ll have to wait a bit during the time out.</p><p> Don’t feel rushed, but please do try to make a choice every time.</p><p>How good a pirate is at robbing a ship will change depending on the place they are in and how good the defenses are of the ship.</p> <p>This is just a practice game, so you’re not playing for money. </p><p>You’ll receive a bag which may or may not contain gold coins.</p><p> In the real game, though, you’ll be able to see whether or not you received the gold coins.</p><p> Good luck, remember press <b>'1'</b> to choose red beard, <b>'2'</b> to choose white beard, and <b>'3'</b> to choose black beard</p><p><b>[Press the space bar to begin the practice game]</b></p></div>","32","","","","","","","","","","","","","","","","","","","",""
"","do_trial_prac","12","14034","0.0-5.0-6.0","770.6450000114273","","","49","","","","","","","","","","","","","","","","","","",""
"","do_trial_prac","13","20047","0.0-5.0-7.0","null","","","null","","","","","","","","","","","","","","","","","","",""
"","do_trial_prac","14","26819","0.0-5.0-8.0","null","","","null","","","","","","","","","","","","","","","","","","",""
"","do_trial_prac","15","34946","0.0-5.0-9.0","null","","","null","","","","","","","","","","","","","","","","","","",""
"","do_trial_prac","16","43495","0.0-5.0-10.0","null","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","17","78029","0.0-5.0-11.0","34533.1849999784","<div class='center'><p>Great job on the practice game!</p><p> Now, you will be asked you some true or false questions to make sure you really understand the rules of the game.</p><p> Press <b>'1'</b> on the keyboard for true and press <b>'2'</b> for false.</p><p><b>[Press the space bar to begin the quiz]</b></p></div>","32","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","18","78717","0.0-5.0-12.0","687.7000000094995","<div class='center'><p>You win bonus money by making choices as fast as possible.</p><p>Press 1 for true and press  2 for false.</p></div>","50","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","19","78974","0.0-6.0-0.0","256.3500000105705","<br><br><br><br><p>That's correct!</p> <p><b>[press the space bar to continue with the quiz]</b></p>","32","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","20","79568","0.0-6.0-1.0","593.4049999923445","<div class='center'><p>You press the <b>‘3’</b> button on the keyboard to choose the red bearded pirate? </p><p>Press 1 for true and press  2 for false.</p></div>","50","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","21","79836","0.0-7.0-0.0","266.959999979008","<br><br><br><br><p>That's correct!</p> <p><b>[press the space bar to continue with the quiz]</b></p>","32","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","22","80096","0.0-7.0-1.0","259.57999998354353","<div class='center'><p>A pirate will always be equally successful at robbing ships in each place</p><p>Press 1 for true and press  2 for false.</p></div>","50","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","23","80306","0.0-8.0-0.0","209.1750000254251","<br><br><br><br><p>That's correct!</p> <p><b>[press the space bar to continue with the quiz]</b></p>","32","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","24","81154","0.0-8.0-1.0","847.6650000084192","<div class='center'><p>You should remember the place where a pirate robbed a ship.</p><p>Press 1 for true and press  2 for false.</p></div>","49","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","25","81366","0.0-9.0-0.0","209.36999999685213","<br><br><br><br><p>That's correct!</p> <p><b>[press the space bar to continue with the quiz]</b></p>","32","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","26","81750","0.0-10.0-0.0","383.7000000057742","<br><br><br><br><p>Good job! You’re now ready to move on to the real game!</p> <p><br>[press the space bar to begin!]</br></p>","32","","","","","","","","","","","","","","","","","","","",""
"","do_welcome","27","83621","0.0-11.0-0.0","null","","","null","","","","","","","","","","","","","","","","","","",""
"","do_trial","28","91530","0.0-12.0-0.0","null","","","null","1,0,1","0","forest","0","probe-233","1","0.4","0.1","","","","","","","","","","",""
"","do_trial","29","99790","0.0-13.0-0.0","null","","","null","1,0,0","0","forest","1","probe-86","1","0.43589703312194117","0.12885786479631878","","","","","","","","","","",""
"","do_bye","30","102391","0.0-14.0-0.0","null","","","null","","","","","","","","","","","","","","","","","","",""
"","do_travel","31","108935","0.0-15.0-0.0","null","","","null","","","","","","","","","","","","","","","","","","",""
"","do_welcome","32","110530","0.0-15.0-1.0","null","","","null","","","","","","","","","","","","","","","","","","",""
"","do_trial","33","119726","0.0-16.0-0.0","null","","","null","1,1,0","1","mountain","2","probe-68","1","0.40402741267702785","0.1849404722733113","","","","","","","","","","",""
"","do_trial","34","127584","0.0-17.0-0.0","null","","","null","1,1,0","1","mountain","3","probe-230","1","0.4525209450539422","0.09943639662113522","","","","","","","","","","",""
"","do_bye","35","129530","0.0-18.0-0.0","null","","","null","","","","","","","","","","","","","","","","","","",""
"","do_travel","36","135531","0.0-19.0-0.0","null","","","null","","","","","","","","","","","","","","","","","","",""
"","do_welcome","37","138022","0.0-19.0-1.0","null","","","null","","","","","","","","","","","","","","","","","","",""
